Date,Open,High,Low,Close,Adj Close,Volume
2019-04-25,5424.0,5427.5,5406.5,5423.5,5423.5,49249634
2019-04-25,5423.5,5423.5,5390.0,5401.5,5401.5,109352378
2019-04-25,5401.5,5425.0,5391.0,5424.5,5424.5,57001097
2019-04-25,5424.5,5427.0,5412.5,5421.0,5421.0,34136888
2019-04-25,5421.0,5421.5,5369.0,5414.5,5414.5,100176081
2019-04-25,5414.5,5460.0,5414.0,5453.5,5453.5,115403687
2019-04-25,5453.5,5467.0,5437.0,5467.0,5467.0,78975008
2019-04-25,5467.0,5472.0,5451.5,5458.5,5458.5,63213570
2019-04-25,5458.5,5459.0,5446.5,5457.5,5457.5,35061175
2019-04-25,5457.5,5457.5,5436.0,5449.5,5449.5,63241607
2019-04-25,5449.5,5464.0,5449.5,5457.0,5457.0,44443056
2019-04-25,5457.0,5485.0,5456.5,5479.0,5479.0,64249664
2019-04-25,5479.0,5493.5,5477.5,5487.5,5487.5,84010063
2019-04-25,5487.5,5496.0,5487.0,5492.5,5492.5,35512881
2019-04-25,5492.5,5503.5,5478.0,5483.5,5483.5,68273689
2019-04-25,5483.5,5496.0,5465.0,5492.5,5492.5,57578371
2019-04-25,5492.5,5496.5,5380.0,5389.5,5389.5,211172488
2019-04-25,5389.5,5390.0,4960.0,5114.0,5114.0,790376745
2019-04-26,5114.0,5138.0,5069.0,5119.5,5119.5,204697914
2019-04-26,5119.5,5120.0,5059.5,5111.5,5111.5,208284857
2019-04-26,5111.5,5157.0,5111.5,5137.0,5137.0,221058955
2019-04-26,5137.0,5274.5,5125.5,5221.0,5221.0,343255694
2019-04-26,5221.0,5228.0,5187.5,5199.5,5199.5,156168850
2019-04-26,5199.5,5238.0,5168.0,5171.5,5171.5,169192996
2019-04-26,5171.5,5213.0,5171.0,5187.0,5187.0,92098699
2019-04-26,5187.0,5196.5,5149.0,5171.0,5171.0,184802047
2019-04-26,5171.0,5179.0,5151.0,5161.0,5161.0,78053736
2019-04-26,5161.0,5192.0,5160.5,5177.5,5177.5,75366647
2019-04-26,5177.5,5184.5,5162.0,5169.0,5169.0,51852451
2019-04-26,5169.0,5184.0,5160.0,5160.0,5160.0,45263370
2019-04-26,5160.0,5167.5,5120.0,5156.0,5156.0,136792062
2019-04-26,5156.0,5183.5,5127.0,5175.0,5175.0,129602259
2019-04-26,5175.0,5178.5,5158.0,5159.0,5159.0,49738388
2019-04-26,5159.0,5164.0,5147.0,5157.0,5157.0,32617073
2019-04-26,5157.0,5161.0,5123.0,5133.5,5133.5,73858297
2019-04-26,5133.5,5139.5,5042.0,5097.5,5097.5,281847334
2019-04-26,5097.5,5118.0,5082.0,5095.0,5095.0,63810266
2019-04-26,5095.0,5109.5,5062.0,5072.5,5072.5,60740640
2019-04-26,5072.5,5102.0,5060.0,5075.5,5075.5,76827963
2019-04-26,5075.5,5112.0,5051.0,5089.5,5089.5,86673723
2019-04-26,5089.5,5119.5,5086.5,5114.5,5114.5,43249516
2019-04-26,5114.5,5174.0,5114.5,5141.5,5141.5,92075817
2019-04-27,5141.5,5153.5,5130.5,5149.5,5149.5,29162471
2019-04-27,5149.5,5165.5,5141.5,5142.0,5142.0,38541402
2019-04-27,5142.0,5149.0,5132.5,5146.0,5146.0,23132300
2019-04-27,5146.0,5152.0,5136.5,5139.0,5139.0,19076059
2019-04-27,5139.0,5155.5,5136.5,5136.5,5136.5,31625591
